Vg_V,Vd_V,Id_A
-5.000000e-02,1.000000e+00,-1.940260e-09
3.191891e-16,1.000000e-01,-2.587830e-09
3.191891e-16,1.000000e+00,-4.730780e-09
5.000000e-02,1.000000e-01,-4.614290e-09
5.000000e-02,1.000000e+00,-9.953360e-09
1.000000e-01,1.000000e-01,-7.579420e-09
1.000000e-01,1.000000e+00,-1.884270e-08
1.500000e-01,1.000000e-01,-1.170540e-08
1.500000e-01,1.000000e+00,-3.295010e-08
2.000000e-01,1.000000e-01,-1.722950e-08
2.000000e-01,1.000000e+00,-5.416710e-08
2.500000e-01,1.000000e-01,-2.440360e-08
2.500000e-01,1.000000e+00,-8.474740e-08
3.000000e-01,1.000000e-01,-3.349290e-08
3.000000e-01,1.000000e+00,-1.273270e-07
3.500000e-01,1.000000e-01,-4.477550e-08
3.500000e-01,1.000000e+00,-1.849440e-07
4.000000e-01,1.000000e-01,-5.854180e-08
4.000000e-01,1.000000e+00,-2.610570e-07
4.500000e-01,1.000000e-01,-7.509420e-08
4.500000e-01,1.000000e+00,-3.595640e-07
5.000000e-01,1.000000e-01,-9.474620e-08
5.000000e-01,1.000000e+00,-4.848190e-07
5.500000e-01,1.000000e-01,-1.178220e-07
5.500000e-01,1.000000e+00,-6.416460e-07
6.000000e-01,1.000000e-01,-1.446580e-07
6.000000e-01,1.000000e+00,-8.353590e-07
6.500000e-01,1.000000e-01,-1.755990e-07
6.500000e-01,1.000000e+00,-1.071780e-06
7.000000e-01,1.000000e-01,-2.110000e-07
7.000000e-01,1.000000e+00,-1.357230e-06
7.500000e-01,1.000000e-01,-2.512270e-07
7.500000e-01,1.000000e+00,-1.698600e-06
8.000000e-01,1.000000e-01,-2.966530e-07
8.000000e-01,1.000000e+00,-2.103290e-06
8.500000e-01,1.000000e-01,-3.476640e-07
8.500000e-01,1.000000e+00,-2.579290e-06
9.000000e-01,1.000000e-01,-4.046520e-07
9.000000e-01,1.000000e+00,-3.135140e-06
9.500000e-01,1.000000e-01,-4.680190e-07
9.500000e-01,1.000000e+00,-3.779990e-06
1.000000e+00,1.000000e-01,-5.381740e-07
1.000000e+00,1.000000e+00,-4.523570e-06
1.050000e+00,1.000000e-01,-6.155380e-07
1.050000e+00,1.000000e+00,-5.376250e-06
1.100000e+00,1.000000e-01,-7.005360e-07
1.100000e+00,1.000000e+00,-6.349000e-06
1.150000e+00,1.000000e-01,-7.936030e-07
1.150000e+00,1.000000e+00,-7.453440e-06
1.200000e+00,1.000000e-01,-8.951840e-07
1.200000e+00,1.000000e+00,-8.701850e-06
1.250000e+00,1.000000e-01,-1.005730e-06
